,address,zip,building_type,price,beds,baths,sqft,price/sqft,agent,brokerage
0,710 London St,94112,- House for sale,1498000,4 ,3 ,2047,731.8026380068393, Darin J. Holwitz,COMPASS
1,655 27th St,94131,- House for sale,2195000,3 ,3 ,1791,1225.5723059743161, Dale T. Boutiette,COMPASS SF
2,270 Sadowa St,94112,- House for sale,1049000,3 ,2 ,1264,829.9050632911392, Cynthia M. Pagan,PACIFIC EDGE
3,437 Valley St,94131,- House for sale,2000000,3 ,2 ,1949,1026.167265264238, Allison Fortini Crawford,SOTHEBY'S INTERNATIONAL REALTY
4,585 Rockdale Dr,94127,- House for sale,1295000,2 ,1 ,1152,1124.1319444444443, Edward O'Connell,CORCORAN GLOBAL LIVING
5,2 Short St,94114,- House for sale,1195000,1 ,2 ,1019,1172.7183513248283, Lamisse Droubi,GENERATION REAL ESTATE
6,23 Skyview Way,94131,- House for sale,1995000,4 ,4 ,2317,861.0271903323263, Par Hanji,COMPASS SF
7,634 Rockdale Dr,94127,- House for sale,1697000,4 ,3 ,2014,842.6017874875869,0,0
8,25 Woodland Ave,94117,- House for sale,2995000,4 ,3 ,2397,1249.4785148101794, Ilana D. Minkoff,VANGUARD PROPERTIES
9,2828 Vallejo St,94123,- House for sale,28000000,8 ,9 ,10345,2706.6215563073947, Neal Allen Ward,COMPASS
10,125 Precita Ave #A,94110,- Condo for sale,695000,2 ,1 ,1055,658.7677725118483, Danielle H. Lazier,COMPASS
11,321 10th Ave,94118,- House for sale,1995000,3 ,3 ,2170,919.3548387096774, Dale T. Boutiette,COMPASS SF
12,225 Mullen Ave,94110,- House for sale,1650000,3 ,2 ,1650,1000.0, Jason D. Gomez,ARG REAL ESTATE
13,116 Galewood Cir,94131,- House for sale,1610000,2 ,3 ,1465,1098.976109215017,0,0
14,210 Richardson Ave,94123,- House for sale,2495000,4 ,4 ,2839,878.830574145826, David B. Bellings,COMPASS
15,2950 Pacific Ave,94115,- House for sale,29500000,8 ,13 ,20000,1475.0, Neal Allen Ward,COMPASS
16,1010 Monterey Blvd,94127,- House for sale,2295000,4 ,3 ,2683,855.3857622064853, Harold Stoner,Architect
17,2263 45th Ave,94116,- House for sale,1198000,3 ,2 ,1427,839.5234758234058, Todd Wiley,COMPASS
18,72 Lynch St,94109,- Condo for sale,1295000,2 ,2 ,1030,1257.2815533980583, Marsha Abrahams,VANGUARD PROPERTIES
19,108 Jerrold Ave,94124,- Townhouse for sale,798000,3 ,2 ,1325,602.2641509433962, Michelle Kim,MOSAIK REAL ESTATE
20,Plan A Plan,BMR,- New construction,532720,3 ,4 ,1764,301.9954648526077,0,Tri Pointe Homes
21,2741 Divisadero St,94123,- House for sale,9295000,6 ,6 ,5085,1827.9252704031464, Grace C. Shohet,COMPASS SF
22,1891 25th Ave,94122,- House for sale,1495000,3 ,3 ,1550,964.516129032258, Erick Bergman,NEW GENERATION RLTY. & INV.
23,106 Circular Ave,94131,- House for sale,1128000,4 ,3 ,1740,648.2758620689655, Rick Lei,COMPASS
24,1946 30th Ave,94116,- House for sale,1495000,4 ,3 ,1631,916.6155732679338, Jason C. Chan,BARBCO
25,855 Folsom St APT 742,94107,- Condo for sale,525000,2 ,1 ,752,698.1382978723404, Michael S. Broermann,GROUP MB
26,2610 San Jose Ave,94112,- House for sale,1090000,6 ,3 ,2250,484.44444444444446, Ka Yi Cheng,TRUST REAL ESTATE
27,224 Sea Cliff Ave,94121,- House for sale,17500000,6 ,7 ,7170,2440.725244072524, Mark A. Levinson,COMPASS
